elapsed_time(s),inner_steps,pdcp_iterations,outer_steps,pd_gap
444.632,75581009,214425,2541,0.00014843470635349937
445.559,75735986,215042,2551,0.00014782287438143936
446.464,75889608,215670,2561,0.00014718684567575913
447.383,76045457,216302,2571,0.00014652083941547184
448.328,76204826,216940,2581,0.00014582546904752004
449.267,76362501,217582,2591,0.00014516740457127739
450.19,76519069,218207,2601,0.00014452143578658552
451.06,76666100,218805,2611,0.00014382705000871507
451.973,76820333,219441,2621,0.00014320981470897047
452.834,76965310,220045,2631,0.00014262638975907904
453.709,77112303,220638,2641,0.0001420055661559179
454.599,77258139,221234,2651,0.00014135584864170825
455.46,77402118,221833,2661,0.00014067843038681818
456.341,77550004,222434,2671,0.0001399774633221336
457.246,77701632,223057,2681,0.00013925871529189664
458.178,77858203,223700,2691,0.00013853078805465754
459.03,78002195,224304,2701,0.00013780514031329003
459.908,78149481,224903,2711,0.00013708897946095727
460.744,78289834,225492,2721,0.00013634401736165383
461.582,78428900,226077,2731,0.00013568810546623483
462.483,78578090,226683,2741,0.00013523724065539824
463.34,78721049,227272,2751,0.0001348231665919443
464.18,78861233,227869,2761,0.0001343844268709652
465.048,79004909,228466,2771,0.00013391288511431336
465.894,79143977,229046,2781,0.00013340878121643855
466.752,79284942,229641,2791,0.00013288272337457982
467.584,79423476,230227,2801,0.00013232486895870497
468.399,79559139,230812,2811,0.00013176391484935254
469.24,79698510,231405,2821,0.0001314625000154116
470.12,79843575,232005,2831,0.00013129318703476202
470.979,79985213,232592,2841,0.0001310934371237544
471.817,80124148,233179,2851,0.00013091629160463802
472.627,80258237,233759,2861,0.0001307610509423303
473.454,80394942,234339,2871,0.000130629626409964
474.316,80537359,234923,2881,0.00013055072177676347
475.156,80676349,235512,2891,0.0001304480735517012
476.003,80815312,236099,2901,0.00013031721281500132
476.827,80950920,236682,2911,0.0001301558597858639
477.648,81086721,237270,2921,0.00012996838813625865
478.467,81221127,237858,2931,0.00012998274299106348
479.341,81360750,238443,2941,0.00013005802488044206
480.199,81498548,239026,2951,0.0001301089291441196
481.044,81635007,239603,2961,0.00013013187291468012
481.883,81771315,240190,2971,0.0001301345627102695
482.691,81903330,240768,2981,0.00013011071370657226
483.515,82038335,241348,2991,0.00013005963356305973
484.342,82174262,241928,3001,0.00012998761379421492
485.141,82306143,242512,3011,0.00012995444602095438
485.922,82435666,243085,3021,0.0001300321695737426
486.748,82572586,243676,3031,0.00013009109255802953
487.561,82706319,244258,3041,0.0001301232231247975
488.399,82844020,244835,3051,0.00013012776336398905
489.215,82978219,245419,3061,0.00013011207802688177
490.028,83111646,246000,3071,0.00013007177456073916
490.831,83243684,246581,3081,0.00013001187550865274
491.639,83376802,247163,3091,0.00012992456460276386
492.423,83506478,247741,3101,0.00012981513659283787
493.2,83634697,248319,3111,0.00012967860206011643
494.01,83767927,248897,3121,0.0001295212072222069
494.804,83898899,249476,3131,0.000129341764158266
495.589,84028283,250052,3141,0.00012913665981902772
496.416,84164237,250640,3151,0.00012891467764536424
497.194,84292190,251221,3161,0.0001287975018579926
497.972,84420390,251798,3171,0.0001287548280858395
498.761,84550413,252376,3181,0.00012869591074725524
499.519,84674691,252949,3191,0.0001286230056984812
500.279,84800117,253525,3201,0.0001285379608997935
501.046,84925871,254096,3211,0.00012843536595978124
501.815,85052613,254679,3221,0.00012832337787214813
502.587,85179112,255252,3231,0.000128192456534712
503.35,85304048,255825,3241,0.0001280474771663473
504.121,85429951,256398,3251,0.00012788503813294765
504.911,85559409,256973,3261,0.0001277106104378787
505.671,85683722,257547,3271,0.0001275193997967404
506.394,85802222,258121,3281,0.00012731211988981084
507.182,85930739,258695,3291,0.0001270899069544494
507.946,86056455,259271,3301,0.00012685652443349127
508.695,86178855,259834,3311,0.00012660173181884907
509.465,86304651,260405,3321,0.0001263344124959754
510.208,86426785,260974,3331,0.0001260514240453113
510.97,86551487,261546,3341,0.00012575405493100295
511.756,86679416,262116,3351,0.0001254429542241961
512.513,86804037,262692,3361,0.00012511789444887705
513.272,86928337,263259,3371,0.00012477676492247264
514.018,87050457,263831,3381,0.00012442162499744051
514.741,87168964,264396,3391,0.00012405067167859003
515.493,87290318,264967,3401,0.00012366517664475982
516.237,87411451,265529,3411,0.0001232655955995081
516.979,87533080,266097,3421,0.00012285087937650464
517.712,87651602,266659,3431,0.00012248154364379558
518.447,87771253,267229,3441,0.00012218263415965033
519.182,87890685,267803,3451,0.00012198673934194632
519.931,88011962,268375,3461,0.00012178200668328844
520.692,88134215,268944,3471,0.00012156130229287222
521.451,88257745,269513,3481,0.00012132867909371396
522.213,88380929,270078,3491,0.00012108374217175907
522.942,88498636,270641,3501,0.00012092741094122186
523.669,88615813,271208,3511,0.00012084131465221921
524.401,88735299,271772,3521,0.00012074491466942082
525.116,88848462,272336,3531,0.00012063765407652541
525.843,88967570,272906,3541,0.00012051966049344935
526.595,89089999,273473,3551,0.00012039025047204215
527.322,89208860,274042,3561,0.00012024876017097466
528.056,89328555,274609,3571,0.00012009490896228853
528.778,89446756,275178,3581,0.00011993113515127059
529.491,89563570,275739,3591,0.00011975053618337034
530.207,89681234,276297,3601,0.00011955986685325236
530.929,89799379,276853,3611,0.00011935567762755457
531.652,89918015,277420,3621,0.00011916016811106336
532.522,90033881,277979,3631,0.00011896347220030808
533.145,90147830,278538,3641,0.00011875277494044316
533.779,90262204,279095,3651,0.00011852837004926349
534.447,90383313,279659,3661,0.00011829753862502117
535.108,90501366,280225,3671,0.0001180618377251575
535.771,90619241,280780,3681,0.00011780681286932548
536.433,90736366,281338,3691,0.0001175408445273432
537.108,90852841,281898,3701,0.00011726706847138904
537.808,90971422,282463,3711,0.00011698368376305418
538.487,91084828,283020,3721,0.00011678239138859618
539.153,91198223,283581,3731,0.00011658730963333246
539.815,91313879,284129,3741,0.00011641956552197602
540.472,91428800,284687,3751,0.00011644313624588863
541.143,91543229,285241,3761,0.00011646825568835222
541.814,91657065,285799,3771,0.00011652398391748253
542.482,91771579,286357,3781,0.0001165668041243316
543.154,91887916,286919,3791,0.0001166028825841988
543.815,92000443,287472,3801,0.00011673370343393691
544.463,92112655,288020,3811,0.00011683927453488493
545.063,92222034,288578,3821,0.000116950209162716
545.685,92333496,289128,3831,0.0001170375023447183
546.289,92443360,289685,3841,0.00011711418232046925
546.889,92552614,290237,3851,0.00011717122638728837
547.522,92664782,290788,3861,0.0001172142842287751
548.14,92773606,291337,3871,0.00011723890313410264
548.739,92880311,291886,3881,0.00011725178370760626
549.352,92989448,292436,3891,0.00011724919995933884
549.975,93100215,292993,3901,0.00011722580799151255
550.601,93210557,293543,3911,0.00011718425717104422
551.225,93321546,294095,3921,0.00011712821342561505
551.821,93427718,294636,3931,0.00011705256506860592
552.438,93537470,295187,3941,0.0001169579144579564
553.046,93645411,295731,3951,0.0001168466925184717
553.663,93754947,296279,3961,0.00011675373599768189
554.259,93860932,296821,3971,0.0001167707553568053
554.885,93967701,297363,3981,0.00011677230581965542
555.536,94079698,297914,3991,0.00011674975719741347
556.18,94190424,298463,4001,0.00011670672785538301
556.783,94296003,299005,4011,0.00011664055158063652
557.374,94400348,299548,4021,0.00011656427096668094
557.961,94503589,300087,4031,0.00011646550612609032
558.568,94610060,300631,4041,0.00011642007522735809
559.178,94716852,301174,4051,0.00011638434055369698
559.788,94823208,301724,4061,0.0001163341006778628
560.389,94928490,302265,4071,0.00011625862646811279
560.998,95035321,302811,4081,0.00011615561596511718
561.578,95137527,303351,4091,0.00011603084488686667
562.172,95241611,303890,4101,0.00011588644851416065
562.777,95347993,304432,4111,0.00011572468245208203
563.371,95451953,304973,4121,0.0001155422891788143
563.953,95554428,305515,4131,0.00011534216362835657
564.56,95660795,306060,4141,0.0001151260297338353
565.158,95765723,306608,4151,0.00011489171195029624
565.754,95869436,307141,4161,0.00011463631193282808
566.355,95974416,307686,4171,0.00011436646978059059
566.961,96080528,308229,4181,0.00011408341215588154
567.527,96180044,308765,4191,0.00011377888179312651
568.109,96281595,309298,4201,0.000113456191865733
568.711,96386640,309837,4211,0.00011312034551341256
